ID,CELL_ID,AXIS_ORDINATE_ID
1,127152_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
2,127151_REF,FINREP_REF_F_00_01_REF_FINREP_2_010
3,127151_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
4,127152_REF,FINREP_REF_F_00_01_REF_FINREP_2_020
5,2740363_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
6,2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_240
7,2739831_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
8,2740018_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
9,2760167_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_060
10,3152353_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
11,2740221_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
12,3152592_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
13,2786713_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
14,2740147_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
15,3170382_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
16,3170278_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
17,2739840_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
18,2739823_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
19,3152493_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
20,3152433_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_041
21,3153033_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_180
22,3176588_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_020
23,2740958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_171
24,3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_130
25,2740153_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_060
26,2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
27,2741251_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
28,3152509_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
29,2786699_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
30,3153327_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
31,3170248_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_050
32,3153191_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
33,3152278_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
34,3152452_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
35,3152536_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
36,3152817_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_090
37,3153114_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_022
38,2740973_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_130
39,3153066_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
40,2741014_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
41,2740061_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_110
42,3152965_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_015
43,2740251_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_120
44,2759995_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
45,2760186_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_181
46,2740380_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
47,2740205_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_199
48,3152613_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_120
49,3152360_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
50,2741006_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
51,2759980_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
52,2741022_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_031
53,3151936_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_020
54,3152271_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_080
55,3153273_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
56,3152362_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_040
57,3152375_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
58,3170265_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_125
59,2740069_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_190
60,2740395_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
61,2740305_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_120
62,2739928_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_070
63,2740166_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_080
64,3153188_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
65,3153332_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
66,3151408_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
