ID,AXIS_ORDINATE_ID,VARIABLE_ID,MEMBER_ID,MEMBER_HIERARCHY_ID,MEMBER_HIERARCHY_VALID_FROM,STARTING_MEMBER_ID,IS_STARTING_MEMBER_INCLUDED
81878,EBA_AE_EBA_F_32_02_a_AE_3_2_1_0035,EBA_RPR,EBA_RP_EBA_x0,,,,false
81879,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0030,EBA_TMA,EBA_MA_EBA_x5,,,,false
81880,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0160,EBA_ECC,EBA_EC_EBA_x0,,,,false
81881,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0020,EBA_BAS,EBA_BA_EBA_x7,,,,false
81882,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0030,EBA_CPE,EBA_CT_EBA_x0,,,,false
81883,EBA_AE_EBA_F_32_02_a_AE_3_2_1_0040,EBA_LQC,EBA_LQ_EBA_x0,,,,false
81884,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0150,EBA_ENC,EBA_CG_EBA_x8,,,,false
81885,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0100,EBA_CPE,EBA_CT_EBA_x9,,,,false
81886,EBA_AE_EBA_F_34_00_b_AE_3_2_2_0100,EBA_TMA,EBA_MA_EBA_x0,,,,false
81887,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0130,EBA_RPR,EBA_RP_EBA_x0,,,,false
81888,EBA_AE_EBA_F_32_03_b_AE_3_2_2_0060,EBA_SST,EBA_ST_EBA_x1,,,,false
81889,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0180,EBA_EXC,EBA_EC_EBA_x0,,,,false
81890,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0050,EBA_ENC,EBA_CG_EBA_x8,,,,false
81891,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0200,EBA_CPC,EBA_CT_EBA_x8,,,,false
81892,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0100,EBA_EXC,EBA_EC_EBA_x0,,,,false
81893,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0200,EBA_BAS,EBA_BA_EBA_x6,,,,false
81894,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
81895,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0120,EBA_RPR,EBA_RP_EBA_x0,,,,false
81896,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0190,EBA_ENC,EBA_CG_EBA_x8,,,,false
81897,EBA_AE_EBA_F_32_03_b_AE_3_2_2_0020,EBA_SST,EBA_ST_EBA_x0,,,,false
81898,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0180,EBA_CPS,EBA_CT_EBA_x0,,,,false
81899,EBA_AE_EBA_F_36_01_a_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
81900,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0060,EBA_RPR,EBA_RP_EBA_x0,,,,false
81901,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0070,EBA_CPC,EBA_CT_EBA_x0,,,,false
81902,EBA_AE_EBA_F_32_01_AE_3_2_2_0120,EBA_MCY,EBA_MC_EBA_x463,,,,false
81903,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0060,EBA_CPC,EBA_CT_EBA_x0,,,,false
81904,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0110,EBA_ENC,EBA_CG_EBA_x8,,,,false
81905,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0190,EBA_CPC,EBA_CT_EBA_x1,,,,false
81906,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0170,EBA_CPE,EBA_CT_EBA_x0,,,,false
81907,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0170,EBA_RPR,EBA_RP_EBA_x0,,,,false
81908,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0060,EBA_CPE,EBA_CT_EBA_x10,,,,false
81909,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0200,EBA_RES,EBA_TI_EBA_x21,,,,false
81910,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0100,EBA_MCY,EBA_MC_EBA_x94,,,,false
81911,EBA_AE_EBA_F_32_03_b_AE_3_2_1_0030,EBA_LQA,EBA_LQ_EBA_x49,,,,false
81912,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0090,EBA_MCG,EBA_MC_EBA_x60,,,,false
81913,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0080,EBA_MCG,EBA_MC_EBA_x60,,,,false
81914,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_MCG,EBA_MC_EBA_x60,,,,false
81915,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0070,EBA_MCS,EBA_MC_EBA_x94,,,,false
81916,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0110,EBA_EUT,EBA_TI_EBA_x54,,,,false
81917,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_ECC,EBA_EC_EBA_x13,,,,false
81918,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0030,EBA_MCS,EBA_MC_EBA_x64,,,,false
81919,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0060,EBA_MCS,EBA_MC_EBA_x99,,,,false
81920,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0240,EBA_CRA,EBA_ER_EBA_x14,,,,false
81921,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0020,EBA_BAS,EBA_BA_EBA_x17,,,,false
81922,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0090,EBA_EUT,EBA_TI_EBA_x27,,,,false
