AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
AE_REF_A_00_01_REF_AE 3_2_1,,X,,A_00.01_REF_1,,AE_REF_A_00_01_REF_AE 3_2,
AE_REF_A_00_01_REF_AE 3_2_2,,Y,,A_00.01_REF_2,,AE_REF_A_00_01_REF_AE 3_2,
AE_REF_F_32_01_REF_AE 3_2_1,,X,,F_32.01_REF_1,,AE_REF_F_32_01_REF_AE 3_2,
AE_REF_F_32_01_REF_AE 3_2_2,,Y,,F_32.01_REF_2,,AE_REF_F_32_01_REF_AE 3_2,
AE_REF_F_32_02_a_REF_AE 3_2_1,,X,,F_32.02.a_REF_1,,AE_REF_F_32_02_a_REF_AE 3_2,
AE_REF_F_32_02_a_REF_AE 3_2_2,,Y,,F_32.02.a_REF_2,,AE_REF_F_32_02_a_REF_AE 3_2,
AE_REF_F_32_02_b_REF_AE 3_2_1,,X,,F_32.02.b_REF_1,,AE_REF_F_32_02_b_REF_AE 3_2,
AE_REF_F_32_02_b_REF_AE 3_2_2,,Y,,F_32.02.b_REF_2,,AE_REF_F_32_02_b_REF_AE 3_2,
AE_REF_F_32_03_a_REF_AE 3_2_1,,X,,F_32.03.a_REF_1,,AE_REF_F_32_03_a_REF_AE 3_2,
AE_REF_F_32_03_a_REF_AE 3_2_2,,Y,,F_32.03.a_REF_2,,AE_REF_F_32_03_a_REF_AE 3_2,
AE_REF_F_32_03_b_REF_AE 3_2_1,,X,,F_32.03.b_REF_1,,AE_REF_F_32_03_b_REF_AE 3_2,
AE_REF_F_32_03_b_REF_AE 3_2_2,,Y,,F_32.03.b_REF_2,,AE_REF_F_32_03_b_REF_AE 3_2,
AE_REF_F_32_04_a_REF_AE 3_2_1,,X,,F_32.04.a_REF_1,,AE_REF_F_32_04_a_REF_AE 3_2,
AE_REF_F_32_04_a_REF_AE 3_2_2,,Y,,F_32.04.a_REF_2,,AE_REF_F_32_04_a_REF_AE 3_2,
AE_REF_F_32_04_b_REF_AE 3_2_1,,X,,F_32.04.b_REF_1,,AE_REF_F_32_04_b_REF_AE 3_2,
AE_REF_F_32_04_b_REF_AE 3_2_2,,Y,,F_32.04.b_REF_2,,AE_REF_F_32_04_b_REF_AE 3_2,
AE_REF_F_33_00_a_REF_AE 3_2_1,,X,,F_33.00.a_REF_1,,AE_REF_F_33_00_a_REF_AE 3_2,
AE_REF_F_33_00_a_REF_AE 3_2_2,,Y,,F_33.00.a_REF_2,,AE_REF_F_33_00_a_REF_AE 3_2,
AE_REF_F_33_00_b_REF_AE 3_2_1,,X,,F_33.00.b_REF_1,,AE_REF_F_33_00_b_REF_AE 3_2,
AE_REF_F_33_00_b_REF_AE 3_2_2,,Y,,F_33.00.b_REF_2,,AE_REF_F_33_00_b_REF_AE 3_2,
AE_REF_F_34_00_a_REF_AE 3_2_1,,X,,F_34.00.a_REF_1,,AE_REF_F_34_00_a_REF_AE 3_2,
AE_REF_F_34_00_a_REF_AE 3_2_2,,Y,,F_34.00.a_REF_2,,AE_REF_F_34_00_a_REF_AE 3_2,
AE_REF_F_34_00_b_REF_AE 3_2_1,,X,,F_34.00.b_REF_1,,AE_REF_F_34_00_b_REF_AE 3_2,
AE_REF_F_34_00_b_REF_AE 3_2_2,,Y,,F_34.00.b_REF_2,,AE_REF_F_34_00_b_REF_AE 3_2,
AE_REF_F_34_00_c_REF_AE 3_2_1,,X,,F_34.00.c_REF_1,,AE_REF_F_34_00_c_REF_AE 3_2,
AE_REF_F_34_00_c_REF_AE 3_2_2,,Y,,F_34.00.c_REF_2,,AE_REF_F_34_00_c_REF_AE 3_2,
AE_REF_F_34_00_c_REF_AE 3_2_3,,Z,,F_34.00.c_REF_3,,AE_REF_F_34_00_c_REF_AE 3_2,
AE_REF_F_35_00_a_REF_AE 3_2_1,,X,,F_35.00.a_REF_1,,AE_REF_F_35_00_a_REF_AE 3_2,
AE_REF_F_35_00_a_REF_AE 3_2_2,,Y,,F_35.00.a_REF_2,,AE_REF_F_35_00_a_REF_AE 3_2,
