MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
ECB,ANCRDT_ACCNTNG_C_1,Accounting data - ECB Collection,,,,,
ECB,ANCRDT_ENTTY_C_1,Counterparty reference data - ECB Collection,,,,,
ECB,ANCRDT_ENTTY_DFLT_C_1,Counterparty default data - ECB Collection,,,,,
ECB,ANCRDT_ENTTY_INSTRMNT_C_1,Counterparty-instrument data - ECB Collection,,,,,
ECB,ANCRDT_ENTTY_RSK_C_1,Counterparty risk data - ECB Collection,,,,,
ECB,ANCRDT_FNNCL_C_1,Financial data - ECB Collection,,,,,
ECB,ANCRDT_INSTRMNT_C_1,Instrument data - ECB Collection,,,,,
ECB,ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1,Instrument-protection received data - ECB Collection,,,,,
ECB,ANCRDT_JNT_LBLTS_C_1,Joint liabilities data - ECB Collection,,,,,
ECB,ANCRDT_PRTCTN_RCVD_C_1,Protection received data - ECB Collection,,,,,
,AXIS,AXIS,,,,,
,AXIS_ORDINATE,AXIS_ORDINATE,,,,,
,ActivityTag,ActivityTag,,,,,
,AllowedTypes,AllowedTypes,,,,,
,AllowedTypesItem,AllowedTypesItem,,,,,
,AnaCreditProcessExecution,AnaCreditProcessExecution,,,,,
,AortaTableReference,AortaTableReference,,,,,
,AutomodeConfiguration,AutomodeConfiguration,,,,,
,CELL_POSITION,CELL_POSITION,,,,,
,COMBINATION,COMBINATION,,,,,
,COMBINATION_ITEM,COMBINATION_ITEM,,,,,
,CUBE,CUBE,,,,,
,CUBE_LINK,CUBE_LINK,,,,,
,CUBE_STRUCTURE,CUBE_STRUCTURE,,,,,
,CUBE_STRUCTURE_ITEM,CUBE_STRUCTURE_ITEM,,,,,
,CUBE_STRUCTURE_ITEM_LINK,CUBE_STRUCTURE_ITEM_LINK,,,,,
,CUBE_TO_COMBINATION,CUBE_TO_COMBINATION,,,,,
,CalculationChain,CalculationChain,,,,,
,CalculationChainStep,CalculationChainStep,,,,,
,CalculationUsedField,CalculationUsedField,,,,,
,CalculationUsedRow,CalculationUsedRow,,,,,
,CellLineage,CellLineage,,,,,
,CellSourceRow,CellSourceRow,,,,,
,ContentType,ContentType,,,,,
,DOMAIN,DOMAIN,,,,,
,DPMProcessExecution,DPMProcessExecution,,,,,
,DataConstraint,DataConstraint,,,,,
,DataFlowEdge,DataFlowEdge,,,,,
,DatabaseColumnValue,DatabaseColumnValue,,,,,
,DatabaseField,DatabaseField,,,,,
,DatabaseRow,DatabaseRow,,,,,
,DatabaseTable,DatabaseTable,,,,,
,DerivedRowSourceReference,DerivedRowSourceReference,,,,,
,DerivedTable,DerivedTable,,,,,
,DerivedTableRow,DerivedTableRow,,,,,
,EvaluatedDerivedTable,EvaluatedDerivedTable,,,,,
,EvaluatedFunction,EvaluatedFunction,,,,,
,EvaluatedFunctionSourceValue,EvaluatedFunctionSourceValue,,,,,
,ExclusiveGateway,ExclusiveGateway,,,,,
,FACET_COLLECTION,FACET_COLLECTION,,,,,
,FRAMEWORK,FRAMEWORK,,,,,
,FRAMEWORK_HIERARCHY,FRAMEWORK_HIERARCHY,,,,,
,FRAMEWORK_SUBDOMAIN,FRAMEWORK_SUBDOMAIN,,,,,
,FRAMEWORK_TABLE,FRAMEWORK_TABLE,,,,,
,FrameworkTestSuite,FrameworkTestSuite,,,,,
,Function,Function,,,,,
,FunctionColumnReference,FunctionColumnReference,,,,,
,FunctionText,FunctionText,,,,,
,Group,Group,,,,,
,InclusiveGateway,InclusiveGateway,,,,,
,LineageSummaryCache,LineageSummaryCache,,,,,
,LogEntry,LogEntry,,,,,
,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY,,,,,
,MAPPING_DEFINITION,MAPPING_DEFINITION,,,,,
,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK,,,,,
,MAPPING_TO_CUBE,MAPPING_TO_CUBE,,,,,
,MEMBER,MEMBER,,,,,
,MEMBER_HIERARCHY,MEMBER_HIERARCHY,,,,,
,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE,,,,,
,MEMBER_LINK,MEMBER_LINK,,,,,
,MEMBER_MAPPING,MEMBER_MAPPING,,,,,
,MEMBER_MAPPING_ITEM,MEMBER_MAPPING_ITEM,,,,,
,MetaDataTrail,MetaDataTrail,,,,,
,ORDINATE_ITEM,ORDINATE_ITEM,,,,,
,ParallelGateway,ParallelGateway,,,,,
,Permission,Permission,,,,,
,PopulatedDataBaseTable,PopulatedDataBaseTable,,,,,
,RequirementType,RequirementType,,,,,
,RequirementsModule,RequirementsModule,,,,,
,RequirementsModuleRule,RequirementsModuleRule,,,,,
,RequirementsSection,RequirementsSection,,,,,
,RequirementsSectionImage,RequirementsSectionImage,,,,,
,RequirementsSectionLinkWithText,RequirementsSectionLinkWithText,,,,,
,RequirementsSectionText,RequirementsSectionText,,,,,
,SUBDOMAIN,SUBDOMAIN,,,,,
,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION,,,,,
,Scenario,Scenario,,,,,
,ScenarioTag,ScenarioTag,,,,,
,ScriptTask,ScriptTask,,,,,
,ScriptTaskSelectionLayer,ScriptTaskSelectionLayer,,,,,
,SelectionLayer,SelectionLayer,,,,,
,SequenceFlow,SequenceFlow,,,,,
,ServiceTask,ServiceTask,,,,,
,ServiceTaskScenario,ServiceTaskScenario,,,,,
,Session,Session,,,,,
,SubProcess,SubProcess,,,,,
,SubProcessFlowElement,SubProcessFlowElement,,,,,
,TABLE,TABLE,,,,,
,TABLE_AMENDMENT,TABLE_AMENDMENT,,,,,
,TABLE_CELL,TABLE_CELL,,,,,
,TableCreationFunction,TableCreationFunction,,,,,
,TableCreationFunctionColumn,TableCreationFunctionColumn,,,,,
,TableCreationSourceTable,TableCreationSourceTable,,,,,
,Tag,Tag,,,,,
,TagGroup,TagGroup,,,,,
,TagGroupItem,TagGroupItem,,,,,
,TagRequirement,TagRequirement,,,,,
,Task,Task,,,,,
,TitledRequirementsSection,TitledRequirementsSection,,,,,
,TitledRequirementsSectionContent,TitledRequirementsSectionContent,,,,,
,Trail,Trail,,,,,
,TransformationStep,TransformationStep,,,,,
,TransformationStepInput,TransformationStepInput,,,,,
,TransformationStepOutput,TransformationStepOutput,,,,,
,User,User,,,,,
,UserTask,UserTask,,,,,
,VARIABLE,VARIABLE,,,,,
,VARIABLE_MAPPING,VARIABLE_MAPPING,,,,,
,VARIABLE_MAPPING_ITEM,VARIABLE_MAPPING_ITEM,,,,,
,VARIABLE_SET,VARIABLE_SET,,,,,
,VARIABLE_SET_ENUMERATION,VARIABLE_SET_ENUMERATION,,,,,
,WorkflowModule,WorkflowModule,,,,,
,WorkflowModuleContent,WorkflowModuleContent,,,,,
,WorkflowSession,WorkflowSession,,,,,
,WorkflowTaskDependency,WorkflowTaskDependency,,,,,
,WorkflowTaskExecution,WorkflowTaskExecution,,,,,
