MAINTENANCE_AGENCY_ID,DOMAIN_ID,NAME,IS_ENUMERATED,DESCRIPTION,DATA_TYPE,CODE,FACET_ID,IS_REFERENCE
ECB,ACCNTNG_CLSSFCTN,Accounting classification,True,Accounting classification,,ACCNTNG_CLSSFCTN,,True
ECB,ACCNTNG_FRMWRK,Accounting framework,True,Accounting framework,,ACCNTNG_FRMWRK,,True
ECB,Boolean,Boolean,False,Boolean,Boolean,,,
ECB,CRDT_QLTY,Credit quality,True,Credit quality,,CRDT_QLTY,,True
ECB,CRRNCY,Currencies,True,Currencies,,CRRNCY,,True
ECB,DT,Date,False,Date,,DT,,True
ECB,Date,Date,False,Date,Date,,,
EBA,EBA_AP,Approach,True,Approach used for the calculation of capital requirements (or exposure value in LR),,AP,,False
EBA,EBA_AS,Accounting standard,True,The accounting standard used to prepare figures or reports,,AS,,False
EBA,EBA_ATY,Metric,True,"Details the data type (e.g. monetary, percentage, string) of the data point. In XBRL, it is the ""primary item"". Generally, it indicates the ""metrics"" of the Main category provided (i.e. answers the question: how is measured?). It should be defined for each data point. In the case of monetary values, when the data point is referred to a (change during a) period of time, the member name shall finish in ""(flow)"". When the member name has other terminations, the data point is a measurement at a date (i.e. ""stock"").",,ATY,,False
EBA,EBA_BA,Base items,True,"Defines the basic conceptual meaning of a data point. Identifies the framework in which a data point is included. For FINREP, it indicates in which group of element of the financial statement should be included the data point (e.g. assets, liabilities, equity, income, expenses). For COREP, it indicates whether the data point should be computed in the numerator (own funds) or the denominator (exposures) of the Pillar I solvency ratio. It may determine whether the data point has a ""debit"" or a ""credit"" attribute.",,BA,,False
EBA,EBA_BT,Boolean total,True,Dimensions having only two values (usually denoted true and false),,BT,,False
EBA,EBA_Boolean,Boolean,False,Boolean,,Boolean,,False
EBA,EBA_CB,Covered bond,False,Name or unambiguous abbreviation of a covered bond issuing entity and the designation of a covered bond,,CB,,False
EBA,EBA_CG,Collateral/Guarantees,True,Defines the terms and conditions of the collateral and guarantees,,CG,,False
EBA,EBA_CONS_LEVEL,Consolidation level,True,,,CONS_LEVEL,,False
EBA,EBA_CS,Contingent scenario,True,Defines the contingent scenarios whose impact is reported,,CS,,False
EBA,EBA_CT,Counterparty,True,Party other than the reporting institution in a contract or transaction.,,CT,,False
EBA,EBA_CU,Currency,True,Currency,,CU,,False
EBA,EBA_DT,Date,False,Date,,DT,,False
EBA,EBA_Date,Date,False,Date,,Date,,False
EBA,EBA_Decimal,Decimal,False,Decimal,,Decimal,,False
EBA,EBA_EC,Exposure classes,True,Defines the exposure class for capital requirement purposes,,EC,,False
EBA,EBA_ER,External ratings,True,Concepts related with external credit ratings.,,ER,,False
EBA,EBA_GA,Geographical area,True,Geographical area,,GA,,False
