MAINTENANCE_AGENCY_ID,SUBDOMAIN_ID,NAME,DOMAIN_ID,IS_LISTED,CODE,FACET_ID,DESCRIPTION,IS_NATURAL
ECB,ACCNTNG_CLSSFCTN_ANCRDT_CLLCTN,AnaCredit - ECB collection,ACCNTNG_CLSSFCTN,,,,,
ECB,ACCNTNG_FRMWRK_ANCRDT_STGNG,Accounting frameworks AnaCredit staging,ACCNTNG_FRMWRK,,,,,
ECB,CRDT_QLTY_DFLT_STTS_ANCRDT_CLLCTN,AnaCredit collection Default status,CRDT_QLTY,,,,,
ECB,CRDT_QLTY_IMPRMNT_STTS_ANCRDT_CLLCTN,AnaCredit collection Impairment status,CRDT_QLTY,,,,,
ECB,CRDT_QLTY_PRFRMNG_STTS_ANCRDT_CLLCTN,Subdomain for the members of CreQua in Ana Credit for instrument,CRDT_QLTY,,,,,
ECB,DT_END_MNTH_YYYY_MM_DD,All last days of months - YYYY-MM,DT,,,,,
ECB,DT_END_QRTR_YYYY_MM_DD,All last days of quarters - YYYY-MM,DT,,,,,
ECB,DT_FLL_YYYYMMDD,All possible dates YYYYMMDD,DT,,,,,
ECB,DT_FLL_YYYY_MM_DD,All possible dates YYYY-MM-DD,DT,,,,,
ECB,ENTTY_RL_ANCRDT,AnaCredit Entity Role,ENTTY_RL,,,,,
ECB,FDCRY_ANCRDT_CLLCTN,AnaCredit - ECB collection,FDCRY,,,,,
ECB,FRBRNC_STTS_ANCRDT_CLLCTN,AnaCredit - ECB collection,FRBRNC_STTS,,,,,
ECB,FRQNCY_INTRST_RT_RST_ANCRDT_CLLCTN,AnaCredit Interest rate reset frequency,FRQNCY,,,,,
ECB,FRQNCY_PYMNT_ANCRDT_CLLCTN,AnaCredit Payment frequency,FRQNCY,,,,,
ECB,IMPRMNT_ASSSSMNT_MTHD_ANCRDT_CLLCTN,AnaCredit - ECB collection,IMPRMNT_ASSSSMNT_MTHD,,,,,
ECB,INSTTTNL_SCTR_ANCRDT_ENTTY_C,Institutional sector,INSTTTNL_SCTR,,,,,
ECB,ISO3166_DSJNT_C_CLLCTN,ISO-3166 Country Codes (disjoint) for staging cubes,GGRPHCL_ARS,,,,,
ECB,ISO3166_DSJNT_S_STGNG,ISO-3166 Country Codes (disjoint) for staging cubes,GGRPHCL_ARS,,,,,
ECB,ISO4217,Subdomain for domain ISO-4217 Currency Codes (ISO4217 Domain),CRRNCY,,,,,
ECB,LGL_FRM_RIAD_ANCRDT,Anacredit subdomain for domain Legal forms,LGL_FRM,,,,,
ECB,LGL_PRCDNG_STTS_ANCRDT_STGNG,AnaCredit - ECB staging,LGL_PRCDNG_STTS,,,,,
ECB,MNTRY_ALL_2D,Positive and negative monetary amounts with 2 decimals,MNTRY,,,,,
ECB,MNTRY_NN_NGTV_2D,Non negative monetary amounts with 2 decimals,MNTRY,,,,,
ECB,NACE_LVLS2TO4_STGNG_V2,NACE (revision 2.1) levels 2 to 4 plus not applicable (staging),ECNMC_ACTVTY_V2,,,,,
ECB,NEVS_CLLCTN,Non-enumerated value status collection subdomain,NEVS,,,,,
ECB,NEVS_CLLCTN_WTHT_NA,Non-enumerated value status collection subdomain,NEVS,,,,,
ECB,NUTS3_ANCRDT,Anacredit subdomain for NUTS codes level 3,GGRPHCL_ARS,,,,,
ECB,NUTS3_ANCRDT_CLLCTN,Anacredit subdomain for NUTS codes level 3,GGRPHCL_ARS,,,,,
ECB,PRDNTL_PRTFL_ANCRDT_CLLCTN,AnaCredit - ECB collection,PRDNTL_PRTFL,,,,,
ECB,PRJCT_FNNC_LN_ANCRDT_CLLCTN,AnaCredit - ECB collection,PRJCT_FNNC_LN,,,,,
ECB,PRPS_ANCRDT_CLLCTN,AnaCredit - ECB collection,PRPS,,,,,
ECB,PRTCTN_VLTN_APPRCH_ANCRDT_CLLCTN,AnaCredit - ECB collection,PRTCTN_VLTN_APPRCH,,,,,
ECB,PSTL_CD_AD,Subdomain for the postal code of PSTL_CD_AD,STRNG,,,,,
ECB,PSTL_CD_AI,Subdomain for the postal code of PSTL_CD_AI,STRNG,,,,,
ECB,PSTL_CD_AM,Subdomain for the postal code of PSTL_CD_AM,STRNG,,,,,
ECB,PSTL_CD_AQ,Subdomain for the postal code of PSTL_CD_AQ,STRNG,,,,,
ECB,PSTL_CD_AR,Subdomain for the postal code of PSTL_CD_AR,STRNG,,,,,
ECB,PSTL_CD_AS,Subdomain for the postal code of PSTL_CD_AS,STRNG,,,,,
ECB,PSTL_CD_AZ,Subdomain for the postal code of PSTL_CD_AZ,STRNG,,,,,
ECB,PSTL_CD_BB,Subdomain for the postal code of PSTL_CD_BB,STRNG,,,,,
ECB,PSTL_CD_BH,Subdomain for the postal code of PSTL_CD_BH,STRNG,,,,,
ECB,PSTL_CD_BM,Subdomain for the postal code of PSTL_CD_BM,STRNG,,,,,
ECB,PSTL_CD_BN,Subdomain for the postal code of PSTL_CD_BN,STRNG,,,,,
ECB,PSTL_CD_BR,Subdomain for the postal code of PSTL_CD_BR,STRNG,,,,,
ECB,PSTL_CD_CA,Subdomain for the postal code of PSTL_CD_CA,STRNG,,,,,
ECB,PSTL_CD_CC,Subdomain for the postal code of PSTL_CD_CC,STRNG,,,,,
ECB,PSTL_CD_CU,Subdomain for the postal code of PSTL_CD_CU,STRNG,,,,,
ECB,PSTL_CD_CX,Subdomain for the postal code of PSTL_CD_CX,STRNG,,,,,
ECB,PSTL_CD_CZ,Subdomain for the postal code of PSTL_CD_CZ,STRNG,,,,,
ECB,PSTL_CD_FK,Subdomain for the postal code of PSTL_CD_FK,STRNG,,,,,
ECB,PSTL_CD_FM,Subdomain for the postal code of PSTL_CD_FM,STRNG,,,,,
ECB,PSTL_CD_GB,Subdomain for the postal code of PSTL_CD_GB,STRNG,,,,,
