ID,CELL_ID,AXIS_ORDINATE_ID
59040,127152_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
59041,127151_REF,FINREP_REF_F_00_01_REF_FINREP_2_010
59042,127151_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
59043,127152_REF,FINREP_REF_F_00_01_REF_FINREP_2_020
59044,2740363_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
59045,2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_240
59046,2739831_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
59047,2740018_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
59048,2760167_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_060
59049,3152353_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
59050,2740221_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
59051,3152592_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
59052,2786713_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59053,2740147_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
59054,3170382_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
59055,3170278_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
59056,2739840_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
59057,2739823_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
59058,3152493_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
59059,3152433_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_041
59060,3153033_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_180
59061,3176588_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_020
59062,2740958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_171
59063,3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_130
59064,2740153_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_060
59065,2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
59066,2741251_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
59067,3152509_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
59068,2786699_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59069,3153327_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59070,3170248_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_050
59071,3153191_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
59072,3152278_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
59073,3152452_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
59074,3152536_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
59075,3152817_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_090
59076,3153114_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_022
59077,2740973_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_130
59078,3153066_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
59079,2741014_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
59080,2740061_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_110
59081,3152965_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_015
59082,2740251_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_120
59083,2759995_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
59084,2760186_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_181
59085,2740380_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
59086,2740205_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_199
59087,3152613_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_120
59088,3152360_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
59089,2741006_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
59090,2759980_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_010
59091,2741022_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_031
59092,3151936_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_020
59093,3152271_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_080
59094,3153273_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59095,3152362_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_040
59096,3152375_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_080
59097,3170265_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_125
59098,2740069_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_190
59099,2740395_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_060
59100,2740305_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_120
59101,2739928_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_070
59102,2740166_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_080
59103,3153188_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
59104,3153332_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
59105,3151408_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
59106,2760221_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_129
59107,2740036_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
59108,3153073_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
59109,2739756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
59110,2741290_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_170
59111,3153238_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_120
59112,2760058_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_320
59113,3170271_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
59114,2740362_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_150
59115,2741244_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
59116,3151956_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_070
59117,2740146_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_060
59118,3151868_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_010
59119,2740103_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_250
59120,2740104_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_040
59121,3153037_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_030
59122,2786808_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
59123,2741219_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_260
59124,2740048_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
59125,2740376_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
59126,2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
59127,3152622_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_020
59128,2740086_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
59129,2786706_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
59130,2739709_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
59131,2740234_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
59132,2786757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
59133,3152428_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
59134,2740252_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
59135,2740039_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
59136,3152560_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
59137,2740293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
59138,2740965_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
59139,3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
59140,2760039_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
59141,2740314_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_200
59142,2739856_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
59143,2739962_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
59144,3153094_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_010
59145,3153089_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
59146,2739990_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
