MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,ASST_PL,ASST_PL,,BIRD_EIL,ASST_PL,,,,,,,,,,
,ASST_PL_CLLTRL_RCVD_ASSGNMNT,ASST_PL_CLLTRL_RCVD_ASSGNMNT,,BIRD_EIL,ASST_PL_CLLTRL_RCVD_ASSGNMNT,,,,,,,,,,
,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,,BIRD_EIL,ASST_PL_DBT_SCRTY_PSTN_ASSGNMNT,,,,,,,,,,
,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,,BIRD_EIL,ASST_PL_EXCHNG_TRDBL_DRVTV_PSTN_ASSGNMNT,,,,,,,,,,
,ASST_PL_INSTRMNT_ASSGNMNT,ASST_PL_INSTRMNT_ASSGNMNT,,BIRD_EIL,ASST_PL_INSTRMNT_ASSGNMNT,,,,,,,,,,
,AXIS,AXIS,,BIRD_EIL,AXIS,,,,,,,,,,
,AXIS_ORDINATE,AXIS_ORDINATE,,BIRD_EIL,AXIS_ORDINATE,,,,,,,,,,
,ActivityTag,ActivityTag,,BIRD_EIL,ActivityTag,,,,,,,,,,
,AllowedTypes,AllowedTypes,,BIRD_EIL,AllowedTypes,,,,,,,,,,
,AllowedTypesItem,AllowedTypesItem,,BIRD_EIL,AllowedTypesItem,,,,,,,,,,
,AnaCreditProcessExecution,AnaCreditProcessExecution,,BIRD_EIL,AnaCreditProcessExecution,,,,,,,,,,
,AortaTableReference,AortaTableReference,,BIRD_EIL,AortaTableReference,,,,,,,,,,
,AutomodeConfiguration,AutomodeConfiguration,,BIRD_EIL,AutomodeConfiguration,,,,,,,,,,
,BLNC_SHT_NTTNG,BLNC_SHT_NTTNG,,BIRD_EIL,BLNC_SHT_NTTNG,,,,,,,,,,
,CELL_POSITION,CELL_POSITION,,BIRD_EIL,CELL_POSITION,,,,,,,,,,
,CLLTRL,CLLTRL,,BIRD_EIL,CLLTRL,,,,,,,,,,
