ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2496,LogEntry,LogEntry__action_time__0,action_time,,,,,,,,,,,,
2497,LogEntry,LogEntry__object_repr__0,object_repr,,,,,,,,,,,,
2498,Permission,Permission__name__0,name,,,,,,,,,,,,
2499,Permission,Permission__codename__0,codename,,,,,,,,,,,,
2500,Group,Group__name__0,name,,,,,,,,,,,,
2501,User,User__password__0,password,,,,,,,,,,,,
2502,User,User__last_login__0,last_login,,,,,,,,,,,,
2503,User,User__is_superuser__0,is_superuser,,,,,,,,,,,,
2504,User,User__username__0,username,,,,,,,,,,,,
2505,User,User__first_name__0,first_name,,,,,,,,,,,,
2506,User,User__last_name__0,last_name,,,,,,,,,,,,
2507,User,User__email__0,email,,,,,,,,,,,,
2508,User,User__is_staff__0,is_staff,,,,,,,,,,,,
2509,User,User__is_active__0,is_active,,,,,,,,,,,,
2510,User,User__date_joined__0,date_joined,,,,,,,,,,,,
2511,ContentType,ContentType__app_label__0,app_label,,,,,,,,,,,,
2512,ContentType,ContentType__model__0,model,,,,,,,,,,,,
2513,Session,Session__session_key__0,session_key,,,,,,,,,,,,
2514,Session,Session__expire_date__0,expire_date,,,,,,,,,,,,
2515,FRAMEWORK_TABLE,FRAMEWORK_TABLE__id__0,id,,,,,,,,,,,,
2516,FRAMEWORK_SUBDOMAIN,FRAMEWORK_SUBDOMAIN__id__0,id,,,,,,,,,,,,
2517,FRAMEWORK_HIERARCHY,FRAMEWORK_HIERARCHY__id__0,id,,,,,,,,,,,,
2518,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK__id__0,id,,,,,,,,,,,,
2519,MAPPING_ORDINATE_LINK,MAPPING_ORDINATE_LINK__created_at__0,created_at,,,,,,,,,,,,
2520,SUBDOMAIN,SUBDOMAIN__subdomain_id__0,subdomain_id,,,,,,,,,,,,
