ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
23575,EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,,+,,
23576,EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,,+,,
23577,EBA_ER_ER1,EBA_ER_EBA_x9,2,EBA_ER_EBA_x0,,+,,
23578,EBA_ER_ER1,EBA_ER_EBA_x1,3,EBA_ER_EBA_x7,=,+,,
23579,EBA_ER_ER1,EBA_ER_EBA_x2,4,EBA_ER_EBA_x1,,+,,
23580,EBA_SC_SC2,EBA_SC_EBA_x3,4,EBA_SC_EBA_x1,,,,
23581,EBA_ER_ER1,EBA_ER_EBA_x7,2,EBA_ER_EBA_x0,=,+,,
23582,EBA_SC_SC2,EBA_SC_EBA_x6,2,EBA_SC_EBA_x0,,,,
23583,EBA_ER_ER1,EBA_ER_EBA_x5,4,EBA_ER_EBA_x4,,+,,
23584,EBA_SC_SC2,EBA_SC_EBA_x7,2,EBA_SC_EBA_x0,,,,
23585,EBA_SC_SC2,EBA_SC_EBA_x1,3,EBA_SC_EBA_x7,,,,
23586,EBA_ER_ER1,EBA_ER_EBA_x3,4,EBA_ER_EBA_x1,,+,,
23587,EBA_SC_SC2,EBA_SC_EBA_x2,4,EBA_SC_EBA_x1,,,,
23588,EBA_SC_SC2,EBA_SC_EBA_x4,4,EBA_SC_EBA_x1,,,,
23589,EBA_ER_ER1,EBA_ER_EBA_x4,3,EBA_ER_EBA_x7,=,+,,
23590,EBA_SC_SC2,EBA_SC_EBA_x5,3,EBA_SC_EBA_x7,,,,
23591,EBA_ER_ER1,EBA_ER_EBA_x8,4,EBA_ER_EBA_x4,,+,,
23592,EBA_ER_ER1,EBA_ER_EBA_x10,4,EBA_ER_EBA_x4,,+,,
23593,EBA_LQ_LQ1,EBA_LQ_EBA_x49,2,EBA_LQ_EBA_x0,,+,,
23594,EBA_LQ_LQ1,EBA_LQ_EBA_x103,2,EBA_LQ_EBA_x0,,+,,
23595,EBA_LQ_LQ2,EBA_LQ_EBA_x155,2,EBA_LQ_EBA_x0,,,,
23596,EBA_LQ_LQ2,EBA_LQ_EBA_x106,2,EBA_LQ_EBA_x0,,,,
23597,EBA_LQ_LQ2,EBA_LQ_EBA_x78,3,EBA_LQ_EBA_x155,,,,
23598,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x48,2,EBA_ZZ_EBA_x232,,,,
23599,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x49,2,EBA_ZZ_EBA_x232,,,,
23600,EBA_LQ_LQ2,EBA_LQ_EBA_x110,4,EBA_LQ_EBA_x154,,,,
23601,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x46,2,EBA_ZZ_EBA_x232,,,,
23602,EBA_LQ_LQ2,EBA_LQ_EBA_x116,5,EBA_LQ_EBA_x108,,,,
23603,EBA_LQ_LQ2,EBA_LQ_EBA_x113,4,EBA_LQ_EBA_x112,,,,
23604,EBA_LQ_LQ2,EBA_LQ_EBA_x195,3,EBA_LQ_EBA_x155,,,,
23605,EBA_LQ_LQ2,EBA_LQ_EBA_x115,5,EBA_LQ_EBA_x107,,,,
23606,EBA_LQ_LQ2,EBA_LQ_EBA_x108,4,EBA_LQ_EBA_x195,,,,
23607,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x50,2,EBA_ZZ_EBA_x232,,,,
23608,EBA_LQ_LQ2,EBA_LQ_EBA_x107,4,EBA_LQ_EBA_x195,,,,
23609,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x233,2,EBA_ZZ_EBA_x51,,,,
23610,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x231,2,EBA_ZZ_EBA_x45,,,,
23611,EBA_LQ_LQ2,EBA_LQ_EBA_x109,5,EBA_LQ_EBA_x110,,,,
23612,EBA_LQ_LQ2,EBA_LQ_EBA_x154,3,EBA_LQ_EBA_x106,,,,
23613,EBA_LQ_LQ2,EBA_LQ_EBA_x114,5,EBA_LQ_EBA_x110,,,,
23614,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x230,2,EBA_ZZ_EBA_x45,,,,
23615,EBA_ZZ_ZZ14,EBA_ZZ_EBA_x326,2,EBA_ZZ_EBA_x51,,,,
23616,EBA_LQ_LQ2,EBA_LQ_EBA_x112,3,EBA_LQ_EBA_x106,,,,
23617,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1078,2,EBA_ZZ_EBA_x0,,+,,
23618,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x1419,2,EBA_ZZ_EBA_x0,,+,,
23619,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x1420,2,EBA_ZZ_EBA_x0,,+,,
