ID,AXIS_ORDINATE_ID,VARIABLE_ID,MEMBER_ID,MEMBER_HIERARCHY_ID,MEMBER_HIERARCHY_VALID_FROM,STARTING_MEMBER_ID,IS_STARTING_MEMBER_INCLUDED
1,EBA_AE_EBA_F_32_02_a_AE_3_2_1_0035,EBA_RPR,EBA_RP_EBA_x0,,,,false
2,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0030,EBA_TMA,EBA_MA_EBA_x5,,,,false
3,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0160,EBA_ECC,EBA_EC_EBA_x0,,,,false
4,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0020,EBA_BAS,EBA_BA_EBA_x7,,,,false
5,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0030,EBA_CPE,EBA_CT_EBA_x0,,,,false
6,EBA_AE_EBA_F_32_02_a_AE_3_2_1_0040,EBA_LQC,EBA_LQ_EBA_x0,,,,false
7,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0150,EBA_ENC,EBA_CG_EBA_x8,,,,false
8,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0100,EBA_CPE,EBA_CT_EBA_x9,,,,false
9,EBA_AE_EBA_F_34_00_b_AE_3_2_2_0100,EBA_TMA,EBA_MA_EBA_x0,,,,false
10,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0130,EBA_RPR,EBA_RP_EBA_x0,,,,false
11,EBA_AE_EBA_F_32_03_b_AE_3_2_2_0060,EBA_SST,EBA_ST_EBA_x1,,,,false
12,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0180,EBA_EXC,EBA_EC_EBA_x0,,,,false
13,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0050,EBA_ENC,EBA_CG_EBA_x8,,,,false
14,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0200,EBA_CPC,EBA_CT_EBA_x8,,,,false
15,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0100,EBA_EXC,EBA_EC_EBA_x0,,,,false
16,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0200,EBA_BAS,EBA_BA_EBA_x6,,,,false
17,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
18,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0120,EBA_RPR,EBA_RP_EBA_x0,,,,false
19,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0190,EBA_ENC,EBA_CG_EBA_x8,,,,false
20,EBA_AE_EBA_F_32_03_b_AE_3_2_2_0020,EBA_SST,EBA_ST_EBA_x0,,,,false
21,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0180,EBA_CPS,EBA_CT_EBA_x0,,,,false
22,EBA_AE_EBA_F_36_01_a_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
23,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0060,EBA_RPR,EBA_RP_EBA_x0,,,,false
24,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0070,EBA_CPC,EBA_CT_EBA_x0,,,,false
25,EBA_AE_EBA_F_32_01_AE_3_2_2_0120,EBA_MCY,EBA_MC_EBA_x463,,,,false
26,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0060,EBA_CPC,EBA_CT_EBA_x0,,,,false
27,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0110,EBA_ENC,EBA_CG_EBA_x8,,,,false
28,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0190,EBA_CPC,EBA_CT_EBA_x1,,,,false
29,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0170,EBA_CPE,EBA_CT_EBA_x0,,,,false
30,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0170,EBA_RPR,EBA_RP_EBA_x0,,,,false
31,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0060,EBA_CPE,EBA_CT_EBA_x10,,,,false
32,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0200,EBA_RES,EBA_TI_EBA_x21,,,,false
33,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0100,EBA_MCY,EBA_MC_EBA_x94,,,,false
34,EBA_AE_EBA_F_32_03_b_AE_3_2_1_0030,EBA_LQA,EBA_LQ_EBA_x49,,,,false
35,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0090,EBA_MCG,EBA_MC_EBA_x60,,,,false
36,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0080,EBA_MCG,EBA_MC_EBA_x60,,,,false
37,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_MCG,EBA_MC_EBA_x60,,,,false
38,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0070,EBA_MCS,EBA_MC_EBA_x94,,,,false
39,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0110,EBA_EUT,EBA_TI_EBA_x54,,,,false
40,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_ECC,EBA_EC_EBA_x13,,,,false
41,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0030,EBA_MCS,EBA_MC_EBA_x64,,,,false
42,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0060,EBA_MCS,EBA_MC_EBA_x99,,,,false
43,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0240,EBA_CRA,EBA_ER_EBA_x14,,,,false
44,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0020,EBA_BAS,EBA_BA_EBA_x17,,,,false
45,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0090,EBA_EUT,EBA_TI_EBA_x27,,,,false
46,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0170,EBA_MCS,EBA_MC_EBA_x64,,,,false
47,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0060,EBA_CPE,EBA_CT_EBA_x10,,,,false
48,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0160,EBA_BAS,EBA_BA_EBA_x17,,,,false
49,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0030,EBA_MCG,EBA_MC_EBA_x60,,,,false
50,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0180,EBA_MCY,EBA_MC_EBA_x25,,,,false
51,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_BAS,EBA_BA_EBA_x17,,,,false
52,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0180,EBA_CPC,EBA_CT_EBA_x0,,,,false
53,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0180,EBA_ECC,EBA_EC_EBA_x0,,,,false
54,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0120,EBA_CPE,EBA_CT_EBA_x0,,,,false
55,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0170,EBA_CPE,EBA_CT_EBA_x0,,,,false
56,EBA_AE_EBA_F_32_03_b_AE_3_2_2_0050,EBA_SST,EBA_ST_EBA_x2,,,,false
57,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0150,EBA_CPC,EBA_CT_EBA_x5,,,,false
58,EBA_AE_EBA_F_36_01_a_AE_3_2_2_0030,EBA_CPE,EBA_CT_EBA_x0,,,,false
59,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0060,EBA_TMA,EBA_MA_EBA_x0,,,,false
60,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
61,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0050,EBA_CPS,EBA_CT_EBA_x0,,,,false
62,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0200,EBA_EXC,EBA_EC_EBA_x0,,,,false
63,EBA_AE_EBA_F_36_01_c_AE_3_2_2_0190,EBA_LQA,EBA_LQ_EBA_x0,,,,false
64,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0150,EBA_CPS,EBA_CT_EBA_x5,,,,false
65,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0150,EBA_ECC,EBA_EC_EBA_x0,,,,false
66,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0150,EBA_BAS,EBA_BA_EBA_x6,,,,false
67,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0050,EBA_TMA,EBA_MA_EBA_x0,,,,false
68,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0240,EBA_MCG,EBA_MC_EBA_x0,,,,false
69,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0120,EBA_CPC,EBA_CT_EBA_x8,,,,false
70,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0120,EBA_TMA,EBA_MA_EBA_x0,,,,false
71,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0160,EBA_BAS,EBA_BA_EBA_x7,,,,false
72,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0200,EBA_ENC,EBA_CG_EBA_x8,,,,false
73,EBA_AE_EBA_F_35_00_b_AE_3_2_1_0210,EBA_BAS,EBA_BA_EBA_x6,,,,false
74,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0180,EBA_EXC,EBA_EC_EBA_x0,,,,false
75,EBA_AE_EBA_F_32_02_b_AE_3_2_1_0010,EBA_ENC,EBA_CG_EBA_x8,,,,false
76,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0130,EBA_RPR,EBA_RP_EBA_x0,,,,false
77,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0120,EBA_CPS,EBA_CT_EBA_x0,,,,false
78,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0110,EBA_TMA,EBA_MA_EBA_x0,,,,false
79,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0250,EBA_ENC,EBA_CG_EBA_x8,,,,false
80,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0130,EBA_EUT,EBA_TI_EBA_x21,,,,false
81,EBA_AE_EBA_F_32_03_b_AE_3_2_1_0030,EBA_ENC,EBA_CG_EBA_x13,,,,false
82,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0030,EBA_MCS,EBA_MC_EBA_x99,,,,false
83,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0090,EBA_mi53,,,,,false
84,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0040,EBA_mi53,,,,,false
85,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0160,EBA_mi53,,,,,false
86,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0040,EBA_mi53,,,,,false
87,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0040,EBA_mi129,,,,,false
88,EBA_AE_EBA_F_32_04_b_AE_3_2_1_0050,EBA_mi129,,,,,false
89,EBA_AE_EBA_F_35_00_c_AE_3_2_1_0130,EBA_si294,,,,,false
90,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0130,EBA_TMA,EBA_MA_EBA_x0,,,,false
91,EBA_AE_EBA_F_32_03_b_AE_3_2_1_0020,EBA_LQA,EBA_LQ_EBA_x0,,,,false
92,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0220,EBA_EXC,EBA_EC_EBA_x0,,,,false
93,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0070,EBA_CPS,EBA_CT_EBA_x0,,,,false
94,EBA_AE_EBA_F_35_00_b_AE_3_2_1_0210,EBA_ENC,EBA_CG_EBA_x8,,,,false
95,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0080,EBA_BAS,EBA_BA_EBA_x7,,,,false
96,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0040,EBA_TMA,EBA_MA_EBA_x0,,,,false
97,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0120,EBA_CPC,EBA_CT_EBA_x8,,,,false
98,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0250,EBA_BAS,EBA_BA_EBA_x6,,,,false
99,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0090,EBA_CPC,EBA_CT_EBA_x8,,,,false
100,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0070,EBA_ENC,EBA_CG_EBA_x0,,,,false
101,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0050,EBA_CPE,EBA_CT_EBA_x0,,,,false
102,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0040,EBA_BAS,EBA_BA_EBA_x7,,,,false
103,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0060,EBA_ECC,EBA_EC_EBA_x0,,,,false
104,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0150,EBA_MCS,EBA_MC_EBA_x987,,,,false
105,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0030,EBA_MCY,EBA_MC_EBA_x409,,,,false
106,EBA_AE_EBA_F_32_03_a_AE_3_2_2_0010,EBA_MCY,EBA_MC_EBA_x415,,,,false
107,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0100,EBA_MCY,EBA_MC_EBA_x409,,,,false
108,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0160,EBA_MCY,EBA_MC_EBA_x409,,,,false
109,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0050,EBA_MCY,EBA_MC_EBA_x409,,,,false
110,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0040,EBA_MCS,EBA_MC_EBA_x135,,,,false
111,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0100,EBA_MCS,EBA_MC_EBA_x64,,,,false
112,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0240,EBA_MCY,EBA_MC_EBA_x25,,,,false
113,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0120,EBA_BAS,EBA_BA_EBA_x17,,,,false
114,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0080,EBA_MCS,EBA_MC_EBA_x94,,,,false
115,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0100,EBA_MCS,EBA_MC_EBA_x64,,,,false
116,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0140,EBA_BAS,EBA_BA_EBA_x10,,,,false
117,EBA_AE_EBA_F_32_03_b_AE_3_2_1_0020,EBA_BAS,EBA_BA_EBA_x17,,,,false
118,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0060,EBA_CPS,EBA_CT_EBA_x10,,,,false
119,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0160,EBA_MCS,EBA_MC_EBA_x96,,,,false
120,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0010,EBA_MCS,EBA_MC_EBA_x31,,,,false
121,EBA_AE_EBA_F_36_02_b_AE_3_2_2_0120,EBA_MCS,EBA_MC_EBA_x64,,,,false
122,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0050,EBA_RPR,EBA_RP_EBA_x13,,,,false
123,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0040,EBA_EUT,EBA_TI_EBA_x61,,,,false
124,EBA_AE_EBA_F_36_02_c_AE_3_2_2_0200,EBA_LQC,EBA_LQ_EBA_x49,,,,false
125,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0130,EBA_BAS,EBA_BA_EBA_x17,,,,false
126,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0130,EBA_MCS,EBA_MC_EBA_x69,,,,false
127,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0070,EBA_RPR,EBA_RP_EBA_x13,,,,false
128,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0110,EBA_CPC,EBA_CT_EBA_x47,,,,false
129,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0190,EBA_BAS,EBA_BA_EBA_x17,,,,false
130,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0040,EBA_ECC,EBA_EC_EBA_x13,,,,false
131,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0050,EBA_MCY,EBA_MC_EBA_x60,,,,false
132,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0180,EBA_MCS,EBA_MC_EBA_x64,,,,false
133,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0060,EBA_BAS,EBA_BA_EBA_x17,,,,false
134,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0040,EBA_EXC,EBA_EC_EBA_x13,,,,false
135,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0160,EBA_REF,EBA_RF_EBA_x11,,,,false
136,EBA_AE_EBA_F_36_01_a_AE_3_2_2_0090,EBA_MCS,EBA_MC_EBA_x94,,,,false
137,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0070,EBA_MCY,EBA_MC_EBA_x64,,,,false
138,EBA_AE_EBA_F_36_02_a_AE_3_2_2_0010,EBA_CPE,EBA_CT_EBA_x10,,,,false
139,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0110,EBA_ECC,EBA_EC_EBA_x0,,,,false
140,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0080,EBA_MCY,EBA_MC_EBA_x409,,,,false
141,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0050,EBA_MCG,EBA_MC_EBA_x467,,,,false
142,EBA_AE_EBA_F_33_00_b_AE_3_2_1_0040,EBA_SCC,EBA_MC_EBA_x544,,,,false
143,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0070,EBA_MCG,EBA_MC_EBA_x979,,,,false
144,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0130,EBA_CPE,EBA_CT_EBA_x0,,,,false
145,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0090,EBA_TMA,EBA_MA_EBA_x0,,,,false
146,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0180,EBA_ENC,EBA_CG_EBA_x8,,,,false
147,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0170,EBA_RPR,EBA_RP_EBA_x0,,,,false
148,EBA_AE_EBA_F_34_00_b_AE_3_2_2_0070,EBA_CPE,EBA_CT_EBA_x0,,,,false
149,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0080,EBA_ENC,EBA_CG_EBA_x8,,,,false
150,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0150,EBA_EXC,EBA_EC_EBA_x0,,,,false
151,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0050,EBA_CPS,EBA_CT_EBA_x0,,,,false
152,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0070,EBA_ENC,EBA_CG_EBA_x8,,,,false
153,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0010,EBA_CPE,EBA_CT_EBA_x0,,,,false
154,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0080,EBA_CPC,EBA_CT_EBA_x1,,,,false
155,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0240,EBA_ECC,EBA_EC_EBA_x0,,,,false
156,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0060,EBA_CPS,EBA_CT_EBA_x0,,,,false
157,EBA_AE_EBA_F_36_02_b_AE_3_2_1_0180,EBA_RPR,EBA_RP_EBA_x0,,,,false
158,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0110,EBA_RPR,EBA_RP_EBA_x0,,,,false
159,EBA_AE_EBA_F_32_02_a_AE_3_2_2_0170,EBA_CPC,EBA_CT_EBA_x0,,,,false
160,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0100,EBA_RPR,EBA_RP_EBA_x0,,,,false
161,EBA_AE_EBA_F_36_02_c_AE_3_2_1_0190,EBA_RPR,EBA_RP_EBA_x0,,,,false
162,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0120,EBA_EXC,EBA_EC_EBA_x0,,,,false
163,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0100,EBA_EXC,EBA_EC_EBA_x0,,,,false
164,EBA_AE_EBA_F_36_01_a_AE_3_2_1_0130,EBA_RPR,EBA_RP_EBA_x0,,,,false
165,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0070,EBA_CPS,EBA_CT_EBA_x0,,,,false
166,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0030,EBA_CPE,EBA_CT_EBA_x0,,,,false
167,EBA_AE_EBA_F_33_00_a_AE_3_2_1_0070,EBA_EUT,EBA_TI_EBA_x17,,,,false
168,EBA_AE_EBA_F_36_01_b_AE_3_2_1_0050,EBA_ECC,EBA_EC_EBA_x13,,,,false
169,EBA_AE_EBA_F_36_02_c_AE_3_2_2_0220,EBA_LQC,EBA_LQ_EBA_x49,,,,false
170,EBA_AE_EBA_F_36_01_b_AE_3_2_2_0040,EBA_MCY,EBA_MC_EBA_x99,,,,false
171,EBA_AE_EBA_F_34_00_c_AE_3_2_2_0080,EBA_CPE,EBA_CT_EBA_x10,,,,false
172,EBA_AE_EBA_F_36_01_c_AE_3_2_1_0080,EBA_MCY,EBA_MC_EBA_x60,,,,false
173,EBA_AE_EBA_F_32_02_a_AE_3_2_1_0065,EBA_ENC,EBA_CG_EBA_x13,,,,false
174,EBA_AE_EBA_F_32_04_a_AE_3_2_2_0170,EBA_BAS,EBA_BA_EBA_x17,,,,false
175,EBA_AE_EBA_F_35_00_d_AE_3_2_1_0250,EBA_MCY,EBA_MC_EBA_x25,,,,false
176,EBA_AE_EBA_F_36_01_c_AE_3_2_2_0200,EBA_LQA,EBA_LQ_EBA_x49,,,,false
177,EBA_AE_EBA_F_36_02_a_AE_3_2_1_0140,EBA_BAS,EBA_BA_EBA_x17,,,,false
178,EBA_AE_EBA_F_35_00_a_AE_3_2_1_0170,EBA_RES,EBA_TI_EBA_x20,,,,false
179,EBA_AE_EBA_F_32_04_b_AE_3_2_2_0070,EBA_MCS,EBA_MC_EBA_x94,,,,false
180,EBA_AE_EBA_F_34_00_a_AE_3_2_2_0020,EBA_MCY,EBA_MC_EBA_x99,,,,false
