ID,MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
5888,CRRNCY_YER,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5889,CRRNCY_KZT,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5890,CRRNCY_ZWG,ISO4217,2024-06-25 00:00:00,9999-12-31 00:00:00,0
5891,CRRNCY_KGS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5892,CRRNCY_EUR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5893,CRRNCY_BOB,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5894,CRRNCY_HKD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5895,CRRNCY_NPR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5896,CRRNCY_KMF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5897,CRRNCY_ISK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5898,CRRNCY_CVE,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5899,CRRNCY_CDF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5900,CRRNCY_BND,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5901,CRRNCY_XUA,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5902,CRRNCY_NOK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5903,CRRNCY_SGD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5904,CRRNCY_GTQ,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5905,CRRNCY_PYG,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5906,CRRNCY_HNL,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5907,CRRNCY_XBD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5908,CRRNCY_NGN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5909,CRRNCY_COU,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5910,CRRNCY_CZK,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5911,CRRNCY_SYP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5912,CRRNCY_SVC,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5913,CRRNCY_GMD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5914,CRRNCY_BBD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5915,CRRNCY_AZN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5916,CRRNCY_MXN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5917,CRRNCY_STD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5918,CRRNCY_PLN,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5919,CRRNCY_CLF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5920,CRRNCY_ZAR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5921,CRRNCY_RUB,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5922,CRRNCY_MNT,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5923,CRRNCY_KHR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5924,CRRNCY_LKR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5925,CRRNCY_XBA,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5926,CRRNCY_BDT,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5927,CRRNCY_SOS,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5928,CRRNCY_JOD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5929,CRRNCY_COP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5930,CRRNCY_IDR,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5931,CRRNCY_ZMW,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5932,CRRNCY_DZD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5933,CRRNCY_CHF,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5934,CRRNCY_TWD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5935,CRRNCY_USD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5936,CRRNCY_AUD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5937,CRRNCY_UAH,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5938,CRRNCY_VES,ISO4217,2018-08-29 00:00:00,9999-12-31 00:00:00,0
5939,CRRNCY_LBP,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5940,CRRNCY_MKD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
5941,CRRNCY_TTD,ISO4217,1900-01-01 00:00:00,9999-12-31 00:00:00,0
