CELL_ID,IS_SHADED,TABLE_CELL_COMBINATION_ID,TABLE_ID,SYSTEM_DATA_CODE,NAME
127151_REF,,31870_REF,FINREP_REF_F_00_01_REF_FINREP,,127151_REF
127152_REF,,37969_REF,FINREP_REF_F_00_01_REF_FINREP,,127152_REF
2739705_REF,,151319_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739705_REF
2739706_REF,,151321_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739706_REF
2739707_REF,,151320_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739707_REF
2739708_REF,,151235_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739708_REF
2739709_REF,,151237_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739709_REF
2739710_REF,,151236_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739710_REF
2739711_REF,,151847_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739711_REF
2739712_REF,,151846_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739712_REF
2739713_REF,,151848_REF,FINREP_REF_F_08_02_REF_FINREP 2_8,,2739713_REF
2739714_REF,,11321_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739714_REF
2739715_REF,,11320_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739715_REF
2739716_REF,,11323_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739716_REF
2739717_REF,,11319_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739717_REF
2739718_REF,,11318_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739718_REF
2739719_REF,,11322_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739719_REF
2739720_REF,,45961_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739720_REF
2739721_REF,,45960_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739721_REF
2739722_REF,,45963_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739722_REF
2739723_REF,,45959_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739723_REF
2739724_REF,,45958_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739724_REF
2739725_REF,,45962_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739725_REF
2739726_REF,,11227_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739726_REF
2739727_REF,,11226_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739727_REF
2739728_REF,,11225_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739728_REF
2739729_REF,,11228_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739729_REF
2739730_REF,,11431_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739730_REF
2739731_REF,,11430_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739731_REF
2739732_REF,,11429_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739732_REF
2739733_REF,,11432_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739733_REF
2739734_REF,,45829_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739734_REF
2739735_REF,,45828_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739735_REF
2739736_REF,,45827_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739736_REF
2739737_REF,,45830_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739737_REF
2739738_REF,,11483_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739738_REF
2739739_REF,,152666_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739739_REF
2739740_REF,,113165_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739740_REF
2739741_REF,,113167_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739741_REF
2739742_REF,,113166_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739742_REF
2739743_REF,,113164_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739743_REF
2739744_REF,,10905_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739744_REF
2739745_REF,,32577_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739745_REF
2739746_REF,,11327_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739746_REF
2739747_REF,,11326_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739747_REF
2739748_REF,,11329_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739748_REF
2739749_REF,,11325_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739749_REF
2739750_REF,,11324_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739750_REF
2739751_REF,,11328_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739751_REF
2739752_REF,,45967_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739752_REF
2739753_REF,,45966_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739753_REF
2739754_REF,,45969_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739754_REF
2739755_REF,,45965_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739755_REF
2739756_REF,,45964_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739756_REF
2739757_REF,,45968_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739757_REF
2739758_REF,,11231_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739758_REF
2739759_REF,,11230_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739759_REF
2739760_REF,,11229_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739760_REF
2739761_REF,,11232_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739761_REF
2739762_REF,,11435_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739762_REF
2739763_REF,,11434_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739763_REF
2739764_REF,,11433_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739764_REF
2739765_REF,,11436_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739765_REF
2739766_REF,,45833_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739766_REF
2739767_REF,,45832_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739767_REF
2739768_REF,,45831_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739768_REF
2739769_REF,,45834_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739769_REF
2739770_REF,,11484_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739770_REF
2739771_REF,,152667_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739771_REF
2739772_REF,,113170_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739772_REF
2739773_REF,,113172_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739773_REF
2739774_REF,,113171_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739774_REF
2739775_REF,,113169_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739775_REF
2739776_REF,,10906_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739776_REF
2739777_REF,,32583_REF,FINREP_REF_F_20_02_REF_FINREP 2_8,,2739777_REF
2739778_REF,,112806_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739778_REF
2739779_REF,,112764_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739779_REF
2739780_REF,,112798_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739780_REF
2739781_REF,,112807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739781_REF
2739782_REF,,112765_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739782_REF
2739783_REF,,112799_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739783_REF
2739784_REF,,112793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739784_REF
2739785_REF,,112805_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739785_REF
2739786_REF,,112757_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739786_REF
2739787_REF,,112771_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739787_REF
2739788_REF,,112763_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739788_REF
2739789_REF,,112797_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739789_REF
2739790_REF,,112792_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739790_REF
2739791_REF,,112809_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739791_REF
2739792_REF,,112759_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739792_REF
2739793_REF,,112773_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739793_REF
2739794_REF,,112767_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739794_REF
2739795_REF,,112801_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739795_REF
2739796_REF,,67802_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739796_REF
2739797_REF,,112785_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739797_REF
2739798_REF,,112790_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739798_REF
2739799_REF,,112782_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739799_REF
2739800_REF,,408938_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739800_REF
2739801_REF,,112781_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739801_REF
2739802_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739802_REF
2739803_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739803_REF
2739804_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739804_REF
2739805_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739805_REF
2739806_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739806_REF
2739807_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739807_REF
2739808_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739808_REF
2739809_REF,,152582_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739809_REF
2739810_REF,,152473_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739810_REF
2739811_REF,,152481_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739811_REF
2739812_REF,,152477_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739812_REF
2739813_REF,,152578_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739813_REF
2739814_REF,,152494_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739814_REF
2739815_REF,,152583_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739815_REF
2739816_REF,,152474_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739816_REF
2739817_REF,,152482_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739817_REF
2739818_REF,,152478_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739818_REF
2739819_REF,,152579_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739819_REF
2739820_REF,,152495_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739820_REF
2739821_REF,,152491_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739821_REF
2739822_REF,,152493_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739822_REF
2739823_REF,,152487_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739823_REF
2739824_REF,,408953_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739824_REF
2739825_REF,,152486_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739825_REF
2739826_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739826_REF
2739827_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739827_REF
2739828_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739828_REF
2739829_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739829_REF
2739830_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739830_REF
2739831_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739831_REF
2739832_REF,,,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739832_REF
2739833_REF,,152594_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739833_REF
2739834_REF,,152475_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739834_REF
2739835_REF,,152483_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739835_REF
2739836_REF,,152479_REF,FINREP_REF_F_20_04_REF_FINREP 2_8,,2739836_REF
