MAINTENANCE_AGENCY_ID,VARIABLE_ID,CODE,NAME,DOMAIN_ID,DESCRIPTION,PRIMARY_CONCEPT,IS_DECOMPOSED
ECB,ACCMLTD_CHNGS_FV_CR,ACCMLTD_CHNGS_FV_CR,Accumulated changes in fair value due to credit risk,MNTRY,Accumulated changes in fair value due to credit risk in accordance with Part 2.46 of Annex V to Implementing Regulation (EU) No 680/2014.,,
ECB,ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,Accumulated impairment,MNTRY,"The amount of loss allowances that are held against or are allocated to the instrument on the reporting reference date. This data attribute applies to instruments subject to impairment under the applied accounting standard. Under IFRS, the accumulated impairment relates to the following amounts: (i) loss allowance at an amount equal to 12-month expected credit losses; (ii) loss allowance at an amount equal to lifetime expected credit losses. Under GAAP, the accumulated impairment relates to the following amounts: (i) loss allowance at an amount equal to general allowances; (ii) loss allowance at an amount equal to specific allowances.",,
ECB,ACCMLTD_WRTFFS,ACCMLTD_WRTFFS,Accumulated write-offs,MNTRY,"Cumulative amount of principal and past due interest of any debt instrument that the institution is no longer recognising because they are considered uncollectible, independently of the portfolio in which they were included. Write-offs could be caused both by reductions in the carrying amount of financial assets recognised directly in profit or loss and by reductions in the amounts of the allowance accounts for credit losses set off against the carrying amount of financial assets.",,
ECB,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,Accounting classification,ACCNTNG_CLSSFCTN,Accounting portfolio where the instrument is recorded in accordance with the accounting standard – IFRS or national GAAP –under Regulation (EU) 2015/534 (ECB/2015/13) applied by the observed agent's legal entity.,,
ECB,ACCNTNG_FRMWRK_SL,ACCNTNG_FRMWRK_SL,Accounting framework for solo reporting,ACCNTNG_FRMWRK,Information on the accounting framework used by the entity when reporting on a solo basis. The information provided by NCAs is used to calculate the Accounting standard attribute to EBA (ACC_STD).,,
ECB,ACCRD_INTRST,ACCRD_INTRST,Accrued interest (accounting),MNTRY,"The amount of accrued interest on loans at the reporting reference date as defined in Regulation (EU) No 1071/2013 (ECB/2013/33). In accordance with the general principle of accruals accounting, interest receivable on instruments should be subject to on-balance sheet recording as it accrues (i.e. on an accruals basis) rather than when it is actually received (i.e. on a cash basis).",,
ECB,ANNLSD_AGRD_RT,ANNLSD_AGRD_RT,Interest rate,RL,Annualised agreed rate or narrowly defined interest rate in accordance with Regulation (EU) No 1072/2013 of the European Central Bank (ECB/2013/34).,,
ECB,ANNL_TRNVR,ANNL_TRNVR,Annual turnover,MNTRY,Annual sales volume net of all discounts and sales taxes in accordance with Recommendation 2003/361/EC. Equivalent to the concept of 'total annual sales' in Article 153(4) of Regulation (EU) No 575/2013.,,
ECB,ARRRS,ARRRS,Arrears for the instrument,MNTRY,"Aggregate amount of principal, interest and any fee payment outstanding at the reporting date, which is contractually due and has not been paid (past due). This amount is always to be reported. '0' is to be reported if the instrument was not past due on the reporting date.",,
ECB,BLNC_SHT_TTL,BLNC_SHT_TTL,Balance sheet total,MNTRY,Carrying value of total assets in accordance with Regulation (EU) 549/2013.,,
