ID,VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
848,DPM_mi290,EBA_mi290,true,2019-05-01 00:00:00,9999-12-31 00:00:00
849,DPM_mi291,EBA_mi291,true,2019-05-01 00:00:00,9999-12-31 00:00:00
850,DPM_bi327,EBA_bi327,true,2019-05-01 00:00:00,9999-12-31 00:00:00
851,DPM_ei328,EBA_ei328,true,2019-05-01 00:00:00,9999-12-31 00:00:00
852,DPM_si294,EBA_si294,true,2019-05-01 00:00:00,9999-12-31 00:00:00
853,DPM_si293,EBA_si293,true,2019-05-01 00:00:00,9999-12-31 00:00:00
854,DPM_mi295,EBA_mi295,true,2019-05-01 00:00:00,9999-12-31 00:00:00
855,DPM_mi297,EBA_mi297,true,2019-05-01 00:00:00,9999-12-31 00:00:00
856,DPM_mi292,EBA_mi292,true,2019-05-01 00:00:00,9999-12-31 00:00:00
857,DPM_CBC,EBA_CBC,true,2019-05-01 00:00:00,9999-12-31 00:00:00
858,DPM_BAS_MCY,EBA_BAS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
859,DPM_BAS_MCY,EBA_MCY,true,1999-01-01 00:00:00,9999-12-31 00:00:00
860,DPM_MCV_F_16.08,EBA_MCV,true,1999-01-01 00:00:00,9999-12-31 00:00:00
861,DPM_BAS_ALO_IMS_APL,EBA_BAS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
862,DPM_BAS_ALO_IMS_APL,EBA_APL,true,1999-01-01 00:00:00,9999-12-31 00:00:00
863,DPM_BAS_ALO_IMS_APL,EBA_IMS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
864,DPM_BAS_ALO_IMS_APL,EBA_ALO,true,1999-01-01 00:00:00,9999-12-31 00:00:00
865,DPM_CPS_CPZ_MCY_TMA,EBA_MCY,true,1999-01-01 00:00:00,9999-12-31 00:00:00
866,DPM_CPS_CPZ_MCY_TMA,EBA_CPS,true,1999-01-01 00:00:00,9999-12-31 00:00:00
867,DPM_CPS_CPZ_MCY_TMA,EBA_CPZ,true,1999-01-01 00:00:00,9999-12-31 00:00:00
868,DPM_CPS_CPZ_MCY_TMA,EBA_TMA,true,1999-01-01 00:00:00,9999-12-31 00:00:00
869,DPM_LAC,EBA_LAC,true,1999-01-01 00:00:00,9999-12-31 00:00:00
870,DPM_MCE_APL,EBA_MCE,true,1999-01-01 00:00:00,9999-12-31 00:00:00
871,DPM_MCE_APL,EBA_APL,true,1999-01-01 00:00:00,9999-12-31 00:00:00
